Height,Weight,Gender
145,38,Female
148,49,Female
148,39,Female
149,40,Female
149,39,Female
149,40,Female
150,45,Female
150,40,Female
150,38,Female
150,50,Female
150,51,Female
150,41,Female
150,40,Female
151,39,Female
151,40,Female
151,41,Female
152,43,Female
152,47,Female
152,50,Female
152,42,Female
152,47,Female
152,42,Female
152,52,Female
152,44,Female
152,43,Female
152,50,Female
153,48,Female
153,42,Female
153,38,Female
153,48,Female
153,45,Female
153,67,Female
153,50,Female
153,40,Female
153,58,Female
153,53,Female
153,46,Female
153,37,Female
154,52,Female
154,50,Female
154,50,Female
154,50,Female
154,41,Female
154,54,Female
154,39,Female
154,56,Female
154,43,Female
154,52,Female
154,49,Female
154,43,Female
154,44,Female
155,45,Female
155,63,Female
155,45,Female
155,54,Female
155,45,Female
155,52,Female
155,58,Female
155,46,Female
155,45,Female
155,45,Female
155,46,Female
155,72,Female
156,53,Male
156,65,Female
156,45,Female
156,47,Female
156,45,Female
156,43,Female
156,50,Female
156,53,Female
156,48,Female
156,50,Female
156,42,Female
156,44,Female
156,54,Female
156,48,Female
156,49,Female
156,48,Female
156,51,Female
156,44,Female
156,65,Female
156,46,Female
156,52,Female
156,43,Female
156,42,Female
156,46,Female
157,52,Female
157,43,Female
157,48,Female
157,44,Female
157,45,Female
157,51,Female
157,60,Female
157,49,Female
157,49,Female
157,53,Female
157,50,Female
157,53,Female
157,46,Female
157,52,Female
157,49,Female
157,42,Female
157,47,Female
157,41,Female
157,44,Female
157,44,Female
157,45,Female
157,47,Female
158,47,Female
158,52,Female
158,46,Female
158,41,Female
158,51,Female
158,38,Female
158,53,Female
158,58,Female
158,45,Female
158,45,Female
158,51,Female
158,54,Female
158,54,Male
158,48,Female
158,40,Female
158,51,Female
158,50,Female
158,45,Female
158,45,Female
158,57,Female
158,48,Female
158,49,Female
158,49,Female
158,48,Female
158,51,Female
158,52,Female
158,53,Female
159,49,Female
159,52,Female
159,50,Female
159,55,Female
159,48,Female
159,46,Female
159,47,Female
159,45,Female
159,50,Female
159,53,Female
159,55,Female
159,45,Female
159,50,Female
159,42,Female
159,53,Female
159,58,Female
160,51,Female
160,48,Female
160,46,Female
160,46,Female
160,49,Female
160,47,Female
160,53,Female
160,57,Male
160,48,Female
160,60,Female
160,47,Male
160,47,Female
160,64,Male
160,56,Female
160,70,Female
160,50,Female
160,52,Female
160,50,Female
160,50,Female
160,58,Female
160,56,Female
160,53,Female
160,63,Female
160,56,Female
160,56,Female
160,50,Female
160,51,Female
160,59,Female
160,48,Female
160,47,Female
160,54,Female
160,50,Female
160,44,Female
160,50,Female
160,43,Female
160,50,Female
160,53,Female
160,53,Female
160,49,Female
160,57,Female
160,44,Female
160,50,Female
160,55,Female
160,52,Female
160,47,Female
160,50,Female
161,59,Female
161,53,Female
161,58,Female
161,52,Female
161,49,Female
161,56,Female
161,54,Female
161,45,Female
161,42,Female
161,50,Male
161,45,Female
161,58,Female
161,58,Female
161,48,Female
161,43,Female
161,53,Female
161,46,Male
161,58,Male
161,45,Female
161,49,Female
161,43,Female
161,43,Female
161,50,Female
161,45,Female
161,45,Female
161,68,Male
161,52,Female
161,53,Female
161,43,Female
161,53,Female
161,49,Female
161,63,Female
162,52,Male
162,50,Female
162,47,Male
162,60,Female
162,64,Female
162,58,Female
162,49,Female
162,56,Male
162,50,Female
162,46,Female
162,56,Female
162,58,Female
162,55,Female
162,67,Female
162,54,Female
162,48,Female
162,53,Female
162,62,Male
162,46,Female
162,67,Female
162,50,Female
162,45,Female
162,56,Female
162,47,Female
162,48,Female
162,49,Female
162,54,Female
162,54,Female
162,48,Male
162,68,Male
162,44,Female
163,66,Female
163,54,Male
163,48,Female
163,46,Female
163,75,Female
163,49,Male
163,55,Male
163,75,Male
163,56,Female
163,54,Male
163,53,Female
163,64,Male
163,46,Female
163,49,Female
163,56,Female
163,60,Female
163,39,Male
163,49,Female
163,57,Male
163,63,Female
163,43,Female
163,50,Female
163,48,Female
163,45,Female
163,45,Female
163,56,Female
163,49,Female
163,53,Female
164,50,Female
164,50,Female
164,57,Female
164,43,Male
164,50,Female
164,52,Female
164,53,Female
164,55,Female
164,47,Female
164,41,Female
164,56,Male
164,47,Female
164,53,Female
164,44,Female
164,54,Female
164,44,Female
164,48,Female
164,54,Female
164,53,Female
164,46,Female
164,55,Female
164,52,Male
164,50,Female
164,51,Female
164,74,Male
164,53,Female
164,49,Female
164,50,Female
164,58,Male
164,44,Female
164,64,Female
165,65,Female
165,65,Female
165,50,Female
165,55,Male
165,46,Male
165,55,Female
165,54,Female
165,48,Female
165,65,Female
165,53,Male
165,48,Female
165,54,Female
165,49,Male
165,63,Female
165,42,Male
165,45,Male
165,51,Female
165,55,Female
165,47,Female
165,54,Female
165,54,Male
165,45,Female
165,60,Male
165,60,Female
165,48,Male
165,61,Male
165,43,Female
165,49,Female
165,50,Female
165,55,Female
165,63,Female
165,54,Female
165,47,Female
165,48,Female
165,52,Female
165,48,Female
165,52,Male
165,48,Male
165,52,Female
165,55,Female
166,52,Female
166,49,Female
166,62,Female
166,62,Male
166,68,Male
166,60,Male
166,58,Female
166,64,Male
166,53,Female
166,43,Female
166,47,Male
166,48,Female
166,56,Male
166,47,Male
166,74,Male
166,45,Female
166,63,Female
166,55,Female
166,52,Male
167,53,Male
167,52,Female
167,47,Female
167,55,Female
167,52,Female
167,62,Male
167,57,Female
167,50,Female
167,68,Male
167,89,Female
167,57,Male
167,42,Female
